Website,Title,Price,Link,Image
Amazon,HighSpark,1669,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozNjE3ODYxNDQ4NTUzMzU1OjE3NjMxMzYxNDM6c3BfYXRmOjMwMDE3MjAwNjA2NDEzMjo6MDo6&url=%2FHighSpark-Sparkling-Solitaire-Sterling-Brilliance%2Fdp%2FB0CBKQMSXP%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.yYyuM4Cf60EVR_Z8q-bexoPK13HvyelUxulx3yEVY1g0lOX52lEFT4TJAdMHzuK38hiMKqG57FFEqjE12zFbBAoly-z9mYoPNzGVyN-G3Xmb_GxYM2q3h5qnhoWBnxL7ACcEPEQKvsfx_-NLbaEYeHW6zzkyl0h0HGWtkYrriYx786VhbTxiIYgdlf3pI88Ouym6AUcChGs7Rjcqn7fDlveExkGGrQ9XsvD0oAseJq2b6J-bEDcKegYI-2T_vOdsjVFFcCrQdzaqIP4_xZc5vu-F-sP0gxqNNBLs22q7v3o.Pzmpdg9ZJrftq5d9DwMUu7j0INhOvW-YNcIBsCc8MhQ%26dib_tag%3Dse%26keywords%3Drings%26qid%3D1763136143%26sr%3D8-1-spons%26aref%3DnAgFZDXVYE%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=nAgFZDXVYE&sp_cr=ZAZ,https://m.media-amazon.com/images/I/61GGPruLepL._AC_UL320_.jpg
Amazon,Yellow Chimes,181,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozNjE3ODYxNDQ4NTUzMzU1OjE3NjMxMzYxNDM6c3BfYXRmOjMwMDczNzc4OTk3NjczMjo6MDo6&url=%2FYellow-Chimes-Vintage-Crystal-Oxidized%2Fdp%2FB07XZB3VN3%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.yYyuM4Cf60EVR_Z8q-bexoPK13HvyelUxulx3yEVY1g0lOX52lEFT4TJAdMHzuK38hiMKqG57FFEqjE12zFbBAoly-z9mYoPNzGVyN-G3Xmb_GxYM2q3h5qnhoWBnxL7ACcEPEQKvsfx_-NLbaEYeHW6zzkyl0h0HGWtkYrriYx786VhbTxiIYgdlf3pI88Ouym6AUcChGs7Rjcqn7fDlveExkGGrQ9XsvD0oAseJq2b6J-bEDcKegYI-2T_vOdsjVFFcCrQdzaqIP4_xZc5vu-F-sP0gxqNNBLs22q7v3o.Pzmpdg9ZJrftq5d9DwMUu7j0INhOvW-YNcIBsCc8MhQ%26dib_tag%3Dse%26keywords%3Drings%26qid%3D1763136143%26sr%3D8-2-spons%26aref%3D4SFCy7FP15%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=4SFCy7FP15&sp_cr=ZAZ,https://m.media-amazon.com/images/I/61r+xznOaZL._AC_UL320_.jpg
Amazon,TOUCH925,1641,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozNjE3ODYxNDQ4NTUzMzU1OjE3NjMxMzYxNDM6c3BfYXRmOjMwMDgxODYyMDgyOTAzMjo6MDo6&url=%2FTOUCH925-Solitaire-Adjustable-Elegant-Sparkling%2Fdp%2FB0FN88HTRP%2Fref%3Dsr_1_3_sspa%3Fdib%3DeyJ2IjoiMSJ9.yYyuM4Cf60EVR_Z8q-bexoPK13HvyelUxulx3yEVY1g0lOX52lEFT4TJAdMHzuK38hiMKqG57FFEqjE12zFbBAoly-z9mYoPNzGVyN-G3Xmb_GxYM2q3h5qnhoWBnxL7ACcEPEQKvsfx_-NLbaEYeHW6zzkyl0h0HGWtkYrriYx786VhbTxiIYgdlf3pI88Ouym6AUcChGs7Rjcqn7fDlveExkGGrQ9XsvD0oAseJq2b6J-bEDcKegYI-2T_vOdsjVFFcCrQdzaqIP4_xZc5vu-F-sP0gxqNNBLs22q7v3o.Pzmpdg9ZJrftq5d9DwMUu7j0INhOvW-YNcIBsCc8MhQ%26dib_tag%3Dse%26keywords%3Drings%26qid%3D1763136143%26sr%3D8-3-spons%26aref%3D7SClkTgDRF%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=7SClkTgDRF&sp_cr=ZAZ,https://m.media-amazon.com/images/I/4140LZCG8DL._AC_UL320_.jpg
Amazon,ZAVYA,1899,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozNjE3ODYxNDQ4NTUzMzU1OjE3NjMxMzYxNDM6c3BfYXRmOjMwMDc2NjE1NTMzNjgzMjo6MDo6&url=%2FZAVYA-Crowned-Solitaire-Rhodium-Adjustable%2Fdp%2FB0FRWS76H5%2Fref%3Dsr_1_4_sspa%3Fdib%3DeyJ2IjoiMSJ9.yYyuM4Cf60EVR_Z8q-bexoPK13HvyelUxulx3yEVY1g0lOX52lEFT4TJAdMHzuK38hiMKqG57FFEqjE12zFbBAoly-z9mYoPNzGVyN-G3Xmb_GxYM2q3h5qnhoWBnxL7ACcEPEQKvsfx_-NLbaEYeHW6zzkyl0h0HGWtkYrriYx786VhbTxiIYgdlf3pI88Ouym6AUcChGs7Rjcqn7fDlveExkGGrQ9XsvD0oAseJq2b6J-bEDcKegYI-2T_vOdsjVFFcCrQdzaqIP4_xZc5vu-F-sP0gxqNNBLs22q7v3o.Pzmpdg9ZJrftq5d9DwMUu7j0INhOvW-YNcIBsCc8MhQ%26dib_tag%3Dse%26keywords%3Drings%26qid%3D1763136143%26sr%3D8-4-spons%26aref%3D6s3w03Y3Cq%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=6s3w03Y3Cq&sp_cr=ZAZ,https://m.media-amazon.com/images/I/61dAE-qVmLL._AC_UL320_.jpg
Amazon,Gore Verbinski,99,https://www.amazon.in/gp/video/ssoredirect/?ru=https%3A%2F%2Fapp.primevideo.com%2Fdetail%3Fgti%3Damzn1.dv.gti.68a9f66b-e5a0-e768-3260-d83520ced135%26ref_%3Ddvm_src_ret_in_xx_s&page-type-id=B0CP9CDH4Y&ref=sr_1_5&keywords=rings&dib_tag=se&dib=eyJ2IjoiMSJ9.yYyuM4Cf60EVR_Z8q-bexoPK13HvyelUxulx3yEVY1g0lOX52lEFT4TJAdMHzuK38hiMKqG57FFEqjE12zFbBAoly-z9mYoPNzGVyN-G3Xmb_GxYM2q3h5qnhoWBnxL7ACcEPEQKvsfx_-NLbaEYeHW6zzkyl0h0HGWtkYrriYx786VhbTxiIYgdlf3pI88Ouym6AUcChGs7Rjcqn7fDlveExkGGrQ9XsvD0oAseJq2b6J-bEDcKegYI-2T_vOdsjVFFcCrQdzaqIP4_xZc5vu-F-sP0gxqNNBLs22q7v3o.Pzmpdg9ZJrftq5d9DwMUu7j0INhOvW-YNcIBsCc8MhQ&qid=1763136143&sr=8-5,https://m.media-amazon.com/images/I/81qTn+Mu-eL._AC_UL320_.jpg
Amazon,Clara,1599,https://www.amazon.in/Clara-Sterling-Minimal-Adjustable-Girlfriend/dp/B0C6V42NJ1/ref=sr_1_6?dib=eyJ2IjoiMSJ9.yYyuM4Cf60EVR_Z8q-bexoPK13HvyelUxulx3yEVY1g0lOX52lEFT4TJAdMHzuK38hiMKqG57FFEqjE12zFbBAoly-z9mYoPNzGVyN-G3Xmb_GxYM2q3h5qnhoWBnxL7ACcEPEQKvsfx_-NLbaEYeHW6zzkyl0h0HGWtkYrriYx786VhbTxiIYgdlf3pI88Ouym6AUcChGs7Rjcqn7fDlveExkGGrQ9XsvD0oAseJq2b6J-bEDcKegYI-2T_vOdsjVFFcCrQdzaqIP4_xZc5vu-F-sP0gxqNNBLs22q7v3o.Pzmpdg9ZJrftq5d9DwMUu7j0INhOvW-YNcIBsCc8MhQ&dib_tag=se&keywords=rings&qid=1763136143&sr=8-6,https://m.media-amazon.com/images/I/51vmrveFOdL._AC_UL320_.jpg
Amazon,F. Javier Gutierrez,99,https://www.amazon.in/gp/video/ssoredirect/?ru=https%3A%2F%2Fapp.primevideo.com%2Fdetail%3Fgti%3Damzn1.dv.gti.72ace7b2-f909-1ee7-ca0e-ba628b37e558%26ref_%3Ddvm_src_ret_in_xx_s&page-type-id=B0FQGZ2TDM&ref=sr_1_7&keywords=rings&dib_tag=se&dib=eyJ2IjoiMSJ9.yYyuM4Cf60EVR_Z8q-bexoPK13HvyelUxulx3yEVY1g0lOX52lEFT4TJAdMHzuK38hiMKqG57FFEqjE12zFbBAoly-z9mYoPNzGVyN-G3Xmb_GxYM2q3h5qnhoWBnxL7ACcEPEQKvsfx_-NLbaEYeHW6zzkyl0h0HGWtkYrriYx786VhbTxiIYgdlf3pI88Ouym6AUcChGs7Rjcqn7fDlveExkGGrQ9XsvD0oAseJq2b6J-bEDcKegYI-2T_vOdsjVFFcCrQdzaqIP4_xZc5vu-F-sP0gxqNNBLs22q7v3o.Pzmpdg9ZJrftq5d9DwMUu7j0INhOvW-YNcIBsCc8MhQ&qid=1763136143&sr=8-7,https://m.media-amazon.com/images/I/71XikNVpOsL._AC_UL320_.jpg
Amazon,GIVA,899,https://www.amazon.in/GIVA-Superstar-Adjustable-Certificate-Authenticity/dp/B0B7XDFFGD/ref=sr_1_8?dib=eyJ2IjoiMSJ9.yYyuM4Cf60EVR_Z8q-bexoPK13HvyelUxulx3yEVY1g0lOX52lEFT4TJAdMHzuK38hiMKqG57FFEqjE12zFbBAoly-z9mYoPNzGVyN-G3Xmb_GxYM2q3h5qnhoWBnxL7ACcEPEQKvsfx_-NLbaEYeHW6zzkyl0h0HGWtkYrriYx786VhbTxiIYgdlf3pI88Ouym6AUcChGs7Rjcqn7fDlveExkGGrQ9XsvD0oAseJq2b6J-bEDcKegYI-2T_vOdsjVFFcCrQdzaqIP4_xZc5vu-F-sP0gxqNNBLs22q7v3o.Pzmpdg9ZJrftq5d9DwMUu7j0INhOvW-YNcIBsCc8MhQ&dib_tag=se&keywords=rings&qid=1763136143&sr=8-8,https://m.media-amazon.com/images/I/41aROSckBTL._AC_UL320_.jpg
Amazon,Shining Diva Fashion,219,https://www.amazon.in/Shining-Diva-Fashion-Stylish-Rings/dp/B0BX62B58N/ref=sr_1_9?dib=eyJ2IjoiMSJ9.yYyuM4Cf60EVR_Z8q-bexoPK13HvyelUxulx3yEVY1g0lOX52lEFT4TJAdMHzuK38hiMKqG57FFEqjE12zFbBAoly-z9mYoPNzGVyN-G3Xmb_GxYM2q3h5qnhoWBnxL7ACcEPEQKvsfx_-NLbaEYeHW6zzkyl0h0HGWtkYrriYx786VhbTxiIYgdlf3pI88Ouym6AUcChGs7Rjcqn7fDlveExkGGrQ9XsvD0oAseJq2b6J-bEDcKegYI-2T_vOdsjVFFcCrQdzaqIP4_xZc5vu-F-sP0gxqNNBLs22q7v3o.Pzmpdg9ZJrftq5d9DwMUu7j0INhOvW-YNcIBsCc8MhQ&dib_tag=se&keywords=rings&qid=1763136143&sr=8-9,https://m.media-amazon.com/images/I/61dK8fy1dRL._AC_UL320_.jpg
Amazon,Clara,1699,https://www.amazon.in/Clara-Sterling-Silver-Adjustable-Platinum/dp/B0DNFLQ52R/ref=sr_1_10?dib=eyJ2IjoiMSJ9.yYyuM4Cf60EVR_Z8q-bexoPK13HvyelUxulx3yEVY1g0lOX52lEFT4TJAdMHzuK38hiMKqG57FFEqjE12zFbBAoly-z9mYoPNzGVyN-G3Xmb_GxYM2q3h5qnhoWBnxL7ACcEPEQKvsfx_-NLbaEYeHW6zzkyl0h0HGWtkYrriYx786VhbTxiIYgdlf3pI88Ouym6AUcChGs7Rjcqn7fDlveExkGGrQ9XsvD0oAseJq2b6J-bEDcKegYI-2T_vOdsjVFFcCrQdzaqIP4_xZc5vu-F-sP0gxqNNBLs22q7v3o.Pzmpdg9ZJrftq5d9DwMUu7j0INhOvW-YNcIBsCc8MhQ&dib_tag=se&keywords=rings&qid=1763136143&sr=8-10,https://m.media-amazon.com/images/I/41gltH-lMBL._AC_UL320_.jpg
Amazon,Shining Diva Fashion,299,https://www.amazon.in/Shining-Diva-Fashion-Silver-cmb300/dp/B0BWMT8VRG/ref=sr_1_11?dib=eyJ2IjoiMSJ9.yYyuM4Cf60EVR_Z8q-bexoPK13HvyelUxulx3yEVY1g0lOX52lEFT4TJAdMHzuK38hiMKqG57FFEqjE12zFbBAoly-z9mYoPNzGVyN-G3Xmb_GxYM2q3h5qnhoWBnxL7ACcEPEQKvsfx_-NLbaEYeHW6zzkyl0h0HGWtkYrriYx786VhbTxiIYgdlf3pI88Ouym6AUcChGs7Rjcqn7fDlveExkGGrQ9XsvD0oAseJq2b6J-bEDcKegYI-2T_vOdsjVFFcCrQdzaqIP4_xZc5vu-F-sP0gxqNNBLs22q7v3o.Pzmpdg9ZJrftq5d9DwMUu7j0INhOvW-YNcIBsCc8MhQ&dib_tag=se&keywords=rings&qid=1763136143&sr=8-11,https://m.media-amazon.com/images/I/61kqxaf-obL._AC_UL320_.jpg
Amazon,YouBella,225,https://www.amazon.in/YouBella-Jewellery-Celebrity-Inspired-Stackable/dp/B0D873HJTT/ref=sr_1_12?dib=eyJ2IjoiMSJ9.yYyuM4Cf60EVR_Z8q-bexoPK13HvyelUxulx3yEVY1g0lOX52lEFT4TJAdMHzuK38hiMKqG57FFEqjE12zFbBAoly-z9mYoPNzGVyN-G3Xmb_GxYM2q3h5qnhoWBnxL7ACcEPEQKvsfx_-NLbaEYeHW6zzkyl0h0HGWtkYrriYx786VhbTxiIYgdlf3pI88Ouym6AUcChGs7Rjcqn7fDlveExkGGrQ9XsvD0oAseJq2b6J-bEDcKegYI-2T_vOdsjVFFcCrQdzaqIP4_xZc5vu-F-sP0gxqNNBLs22q7v3o.Pzmpdg9ZJrftq5d9DwMUu7j0INhOvW-YNcIBsCc8MhQ&dib_tag=se&keywords=rings&qid=1763136143&sr=8-12,https://m.media-amazon.com/images/I/610kKHwQM8L._AC_UL320_.jpg
Amazon,Peter Jackson,119,https://www.amazon.in/gp/video/ssoredirect/?ru=https%3A%2F%2Fapp.primevideo.com%2Fdetail%3Fgti%3Damzn1.dv.gti.84a9f6d5-bc3f-73a3-e41f-a82b4ff83e67%26ref_%3Ddvm_src_ret_in_xx_s&page-type-id=B09QRPLQ4P&ref=sr_1_13&keywords=rings&dib_tag=se&dib=eyJ2IjoiMSJ9.yYyuM4Cf60EVR_Z8q-bexoPK13HvyelUxulx3yEVY1g0lOX52lEFT4TJAdMHzuK38hiMKqG57FFEqjE12zFbBAoly-z9mYoPNzGVyN-G3Xmb_GxYM2q3h5qnhoWBnxL7ACcEPEQKvsfx_-NLbaEYeHW6zzkyl0h0HGWtkYrriYx786VhbTxiIYgdlf3pI88Ouym6AUcChGs7Rjcqn7fDlveExkGGrQ9XsvD0oAseJq2b6J-bEDcKegYI-2T_vOdsjVFFcCrQdzaqIP4_xZc5vu-F-sP0gxqNNBLs22q7v3o.Pzmpdg9ZJrftq5d9DwMUu7j0INhOvW-YNcIBsCc8MhQ&qid=1763136143&sr=8-13,https://m.media-amazon.com/images/I/A107128OO2L._AC_UL320_.jpg
